Delicacy ID,Delicacy Name,Pronunciation,Famous In,Price,Category,Food Type,Description,Preparation,Round Image,Carousel Images,Description Image,Video
OD_DahibaraAloodum,DAHIBARA ALOODUM,dæhɪ bərɑ:,Cuttack,INR 30 -50 per Plate,Spicy,Morning,"Dahibara and Aloodum are considered to be two separate dishes, Odisha offers a distinctive blend of the both. The relishing taste of dahi vadas carefully neutralises the spiciness of aloo dum, giving the taste that every Odia craves for. Also famous as the 'Vada Pav' of Cuttack, this dish has surely paved its way into people's hearts and everyday lives.","Washed urad lentils are soaked in normal water overnight and ground into a batter for the vada, then deep fried in hot oil. The deep-fried vadas are first put in water and then again transferred to thick light yogurt water for soaking yogurt water. :Then the Vadas are added with Aloo dam (Potato Curry) and Guguni (Pea Curry). :Later chopped onion and cucumber are added to garnish the dish.",https://i.imgur.com/L7HHjxG.jpg,https://i.imgur.com/ltE4zGW.png https://i.imgur.com/2U0DT6G.jpg https://i.imgur.com/3dA4S7J.jpg https://i.imgur.com/wQqIrKf.jpg,https://i.imgur.com/ghc7qgV.jpg,https://www.youtube.com/watch?v=H62JsJH-xTw
OD_Chaula Bara,CHAULA BARA,chaʊlɒ bərɑ:,Balangir,INR 5 -10 per Piece,Fries,Morning,"Chaula Bara are immensely scrumptious crispy balls that are made with primarily urad Dal and rice. Light, fluffy, and tasty; this dish is for you to keep longing for more! 4 parts rice and 1 part Urad Dal are soaked overnight (minimum 8 hours) and blended into a medium coarse paste. Ingredients like cumin seeds, carom seeds, coriander leaves, a pinch of baking soda, salt and pepper are added to this paste. A bit of mixing, and it's ready to fry and binge on! Best served with a tangy chutney of your choice.","The rice & white gram are soaked for 8-12 hours and then washed & grinded separately. :Besan, ajwain, baking soda and salt are added to the grinded rice and white gram and mixed properly to make a proper batter. :Next a small quantity of batter is taken and flattened in the palm in the shape of small balls and fried in oil till light brown. Now the rice wada is ready. It is served with tamarind chutney, tomato ketchup, samber etc.",https://i.imgur.com/suA84QA.jpg,https://i.imgur.com/B3FQks6.jpg https://i.imgur.com/8g17gLV.jpg https://i.imgur.com/xW9T2iN.jpg https://i.imgur.com/eqqaLBh.jpg,https://i.imgur.com/NivKYxN.jpg,https://www.youtube.com/watch?v=w-Orfc2zTLM
OD_BiriBara,BIRI BARA,biri bərɑ:,Dhenkanal,INR 5 -10 per Piece,Fries,Morning,"This mouthwatering snack is much loved and prepared usually in households and served as a traditional food stuff in different parts of the state and country. There are many types of Bara, with different variations and varieties but among them, the ‘Dhenkanal Bara’ is unbeatable. It is said to be the most flavoursome and appetizing. A crunchy and crispy texture from outside with an extremely soft centre, it is spongy soft from inside. When you take a bite, you can feel a blast of aromatic flavours inside the mouth.","Urad dal & methi are soaked together for 3 - 4 hr. or overnight. Then they are washed properly and a fine paste is made by adding a little amount of water. :The batter is mixed continuously for 2 -3 minute in one direction .This helps to generate air in the batter and helps make the batter light. Semolina can be added for the crispness. :Next onion,cumin seed,salt,hing,curry leaves,coriander leaves, ginger are added and mixed well. :Next a small quantity of batter is taken and flattened in the palm in the shape of small balls and fried in oil till light brown. It is served with tamarind chutney, tomato ketchup, samber etc.",https://i.imgur.com/h33GIgF.jpg,https://i.imgur.com/TDWKTom.jpg https://i.imgur.com/uXHa55G.jpg https://i.imgur.com/qJwumed.jpg https://i.imgur.com/bDlIa57.jpg,https://i.imgur.com/QkMW51I.jpg,https://www.youtube.com/watch?v=Kx76kXPYt7A
OD_PhulaBadi,PHULA BADI,fʊlə bədi:,Keonjhar,INR 5 -10 per Piece,Fries,Lunch,"Bigger and inflated versions of the normal Badi - a sun-dried lentil dumpling. Badi is added to enhance the taste & texture of dishes. Badi tastes good when it is fried with onion and garlic and eaten with pakhal, the odisha special. It comes in handy as a quick side dish when you have to put a meal together in a jiffy.",Keonjhar Phula Badi are prepared by mixing Udad dal with various speices and condiments. They are then sun dried to get the final bigger and inflated crispy Badi.,https://i.imgur.com/PObnUMJ.jpg,https://i.imgur.com/uvj0HoI.jpg https://i.imgur.com/OnvlV8Q.jpg https://i.imgur.com/LGyX1dM.jpg https://i.imgur.com/2KEAWf8.jpg ,https://i.imgur.com/TOSLOfN.jpg,https://www.youtube.com/watch?v=3umv3gi7jFA
OD_Rasabali,RASABALI,rəsɑː bəli:,Kendrapara,INR 30 -50 per Plate,Sweets,All Day,"This is a flavoursome dessert prepared with deep-fried compressed reddish-brown patties of chhena that are soaked in condensed and sweetened milk. Cardamom flavour is added to chhena which enhances the taste manifold. The recipe of Rasabali originated in Baladevjew Temple of Kendrapara and now counted as one of the 56 dishes of Chhappan Bhog, offered to Lord Jagannath.","Paneer, sugar, semolina, wheat flour and baking powder are first mixed then mashed properly. Equal size balls are formed and pressed gently to make a flat ball.Then these balls are fried in ghee. :On the other side 1 liter milk is taken and made half in the quantity, then added sugar and cardamom powder.and cooked in lower flame. :Then fried cheese is added to it,and cooked for sometime. Rasabali is served cool for better taste.",https://i.imgur.com/YwYee7J.jpg,https://i.imgur.com/0x1VVDD.jpg https://i.imgur.com/LwOnq5Q.jpg https://i.imgur.com/kRL0dML.jpg https://i.imgur.com/AvDhlbP.jpg ,https://i.imgur.com/QBeICrb.jpg,https://www.youtube.com/watch?v=Cx67qZoCTJM
OD_ChennaPoda,CHENNA PODA,chɛnnɑː pəʊdə,Nayagarh,INR 30 -50 per Serving,Sweets,All Day,"Odisha's very own cheesecake! The one sweet that Odisha is famous for - Chhena Poda, also known to be Lord Jagannath's favourite sweet and is often offered to him at the Puri Temple. The lingering taste of burnt home-made cottage cheese and semolina combined with sugar syrup simply blow away your mind. This rare dessert is baked for several hours until it becomes red and the caramelised sugar brings out the distinct flavour of Chhena Poda. Being sold in almost every nook and corner, this dish is simple, easy and absolutely delicious.","A baking pan is lined with some chopped banana leaves, greased properly to the sides. :Fresh paneer or chenna is taken and crumbled well. Sugar or jaggery is added and mixed properly till batter like consistency. :Cardamom powder and rice flour are added next along with a pinch of baking soda. :The mixture is then poured into the baking pan and baked for 30 to 45 minutes to get the final cheesecake.",https://i.imgur.com/vxKlKyN.jpg,https://i.imgur.com/b1hwP5P.jpg https://i.imgur.com/RPUPIWI.jpg https://i.imgur.com/b3eMe4F.jpg https://i.imgur.com/tuAuJuZ.jpg ,https://i.imgur.com/plK32gE.jpg,https://www.youtube.com/watch?v=vlXFqnxaplQ
OD_MudhiMansa,MUDHI MANSA,mʊdhi mɑːnsə,Baripada,INR 150 - 200 per Bowl,Spicy,Evening,"Mudhi is 'puffed rice', and Mansa means 'meat'. Mudhi Mansa is a classic, traditional dish that is loved by the people of Odisha. It's goat's meat that is marinated in oil and a whole lot of spices. The meat is then added to a gravy made with tomatoes, onions and selected spices. Served hot with crunchy Mudhi or puffed rice; garnished with chopped onions, tomatoes and fresh coriander leaves. It is an interesting combination that is quite preferred, especially by the people of Baripada.","Chopped onions, ginger garlic paste are first fried till brown and then turmeric, green chilli, chilli powder, chopped tomato, cumin and Coriander powder are added and stirred well. :Chicken is added and fried for 5 mins then potato,salt to taste, garam masala are added and fried in Medium flame till it becomes dry. :Then water is added accordingly and cooked till the consistency becomes thick, at last chicken masala is added followed by chopped coriander and mixed properly. :The chicken curry is now ready to be served with mudhi or puffed rice",https://i.imgur.com/XIjWRYO.jpg,https://i.imgur.com/32hwwnU.jpg https://i.imgur.com/ZowXrqG.jpg https://i.imgur.com/LUc8C6b.jpg https://i.imgur.com/G3NaCSG.jpg ,https://i.imgur.com/m8BI75a.jpg,https://www.youtube.com/watch?v=UYWlQgn96BQ
OD_ChennaJhili,CHENNA JHILI,chɛnnɑː jhii:,"Nimapada, Puri",INR 10 -15 per Piece,Sweets,All Day,"Chhena Jhili is another sweet dish from Odisha's cuisine. It's core ingredient curd cheese that is moist and crumbled (commonly referred to as Chhena). The other ingredients are sugar, sugar syrup, ghee (clarified butter), wheat flour, cardamom powder, semolina, curd (optional) and a tad bit of salt. A soft dough-like mixture is prepared to make small sized balls, which are then deep-fried in oil. The balls are then dipped and coated in sugar syrup or Chashni. This sweet dish is soft, succulent and scrumptious.","Fresh paneer or chenna is taken in a vessel/mixing bowl and maida and powdered sugar are added. The chenna is Crumbled and kneaded to remove lumps and it just comes together into a soft dough. :Around the same time, some sugar is dissolved in 2 cups of water and boiled on medium flame. Crushed cardamom is added to the vessel. The flame is removed just before it reaches a stringy consistency. :Small lumps are pinched out of the dough and shaped into balls. These balls are then fried to a brown colour on medium heat. :Once the balls are fried, they are put into the vessel containing the hot sugar syrup. It is allowed to stand for an hour or so. Ready to serve chenna jhilli.",https://i.imgur.com/3eSfaSZ.jpg,https://i.imgur.com/Dhnfypf.jpg https://i.imgur.com/PazkAbX.jpg https://i.imgur.com/yZmdmuU.jpg https://i.imgur.com/ZPKRFve.jpg ,https://i.imgur.com/14uoy2B.jpg,https://www.youtube.com/watch?v=rn2Xd82xkOY
OD_Achaar&Papad,ACHAAR & PAPAD,ɑːchɑːr and pɑːpəd,Berhampur,INR 15 - 20 per Serving,Crackers,Lunch,"This duo is enough to speak for itself for when it comes to describing the food area of expertise, Berhampur’s achar and papad showcase the unique specialty, making  them rule the whole nation with their taste. These give away such a wonderful flavour to the mouth that it is liked by the folks of Odisha at any and every point of time. What makes this traditional cuisine even more rich is the fact that it is prepared from local ingredients by the local inhabitants themselves!",Fenugreek seeds and Fennel seeds are roasted in low flame. The flame is then switched off and turmeric powder is added. A little rock salt and sugar is added to this. :The ingredients are grinded to a fine powder and added to the raw mangoes and mixed well.  It is then kept covered for 3 to 4 hours. :The jaggery and sugar melts when contact with raw mangoes and oozes out juice. The achaar is now ready to taste.,https://i.imgur.com/zJnfYyX.jpg,https://i.imgur.com/pC7a628.jpg https://i.imgur.com/I3395h7.jpg https://i.imgur.com/XJxJCOF.jpg https://i.imgur.com/YkAxggy.jpg,https://i.imgur.com/7jbfbJr.jpg,https://www.youtube.com/watch?v=fPSD8vKT6wk
OD_Khaja,KHAJA,khəjɑː,Puri,INR 10 -15 per Piece,Sweets,All Day,"A crisp, cracking and worth cherishing sweet dish, Khaja. It's a burst of flavour and texture, with very few ingredients, and a whole lot of techniques. There's just refined flour, clarified butter, sugar, water, cardamom and rose water (optional). The dough is kneaded using flour and ghee, to prepare thin tortillas. These tortillas are then layered one above the other, with the help of ghee and dry flour. Around 6 layers are formed before rolling them and cutting into pieces. A bit of flattening from the sides, and they get into deep-frying until golden. Coated in flavoured sugar syrup at the end, and the layered, crunchy goodness is ready to relish! ",Flour and melted ghee are added and mixed well. The dough is covered and kept aside for at least 15 to 20 minutes. :A paste is made mixing 2 tablespoons clarified butter(ghee) and 2 tablespoons all-purpose flour to make a flour paste. :The dough is divided into balls of equal parts. A ball is taken and rolled into a rectangular shape sheet. Another one is rolled similarly. :The prepared flour paste is smeared on one sheet and another one is placed on top of it. The flour paste is spread on top of the second sheet and both the sheets together are rolled tightly to resemble a log. :This flour log is cut into equal sized pieces of 1 inch each. Each piece is rolled vertically. :The pieces are then fried on a medium flame until they turn golden brown on both sides. They are then cooled completely and dipped in warm sugar syrup for some time. :The well-coated khajas are then passed onto a greased plate and left to cool down. Khaja are best served at room temperature.,https://i.imgur.com/BVCRNT3.jpg,https://i.imgur.com/tSavcML.jpg https://i.imgur.com/KbiS0Vw.jpg https://i.imgur.com/7QBcqGP.jpg https://i.imgur.com/PwYaYG4.jpg ,https://i.imgur.com/9m7DQxj.jpg,https://www.youtube.com/watch?v=EIwkz9sU9CA
OD_Rasogolla,RASOGOLLA,rəsə gəʊllɑː,"Salepur, Cuttack",INR 10 -15 per Piece,Sweets,All Day,"The Rasoaolla from Odisha is super popular for all the right reasons, and more! It has been a hot topic considering its battle of origin with Bengal. With its mouth-melting texture and divine flavour, this sweet dish is bound to win hearts in every part of the world! The white goodness dipped in sugar syrup makes it one of the best desserts. The delicate softness of the chhena and the perfect balance of sweetness makes it a wonderful indulgence. One simply cannot afford to miss this delight! Odisha Rasogolla, Khira Mohana has been served as bhog in the Jagannath Temple, in Puri.",Fresh paneer or chenna is taken and crumbled well. Sugar is added and mixed properly till batter like consistency. Small balls are made out from the batter. :Sugar syrup is prepared and chhena balls are added one by one to the pan and the cooker is covered with a glass lid. For the First 5 minutes the gas is kept on high heat and after that in medium heat for 15 -20 minutes. :The rosogolla is then kept in the syrup for 6-7 hours. Then finally the Rosogolla is ready to serve,https://i.imgur.com/uvDvH3w.jpg,https://i.imgur.com/Rg76fKx.jpg https://i.imgur.com/kKW6MGJ.jpg https://i.imgur.com/yUwTqFc.jpg https://i.imgur.com/zhatB7Y.jpg,https://i.imgur.com/MPj3DJf.jpg,https://www.youtube.com/watch?v=fbSn7tTJNzE
OD_KoraKhai,KORA KHAI,kəʊrɑː khəɪ,Khordha,INR 50 - 100 per Packet,Sweets,"Morning, Evening","It is immensely popular as a form of 'Prashad' (holy offering) in temples, especially to Lord Jagannath. There are very few ingredients used to prepare Kora Khai. It is basically a mixture of 4 ingredients that are Khai, coconut, jaggery (or sugar) and cardamom. Compared to other sweets, it's a bit more hard and chewy. However, that does not mess up with its uniquely delicious taste. It's a flavourful delight that gives freshness from the coconuts and crunch from the caramelized Khai (fried paddy).",A caramel solution is prepared by adding sugar or jaggery to water and melting it for 10-15 minutes. Coconut pieces are added and cinnamon is added for flavouring. :Then puffed rice is added to the caramelized solution to get the Kora Khai. ,https://i.imgur.com/CWRA0LR.jpg,https://i.imgur.com/H3phWOW.jpg https://i.imgur.com/ZDbLNCG.jpg https://i.imgur.com/8F5idu7.jpg https://i.imgur.com/38KVdf0.jpg ,https://i.imgur.com/RMgJqAM.jpg,https://www.youtube.com/watch?v=e27wSiZ-e8Q
OD_Gajja ,GAJJA,gəjɑː,Balasore,INR 15 - 20 per Piece,Sweets,"Morning, Evening","Gajja is a classic, traditional sweet from Odisha that has multiple variants. Chhena Gajja, Khasta Gajja, Khira Gaja and some others that differ through their style of preparation (boiled dry or fried sugary syrup ones). Most of their names are based on the core ingredient of the respective recipes. The most popular version is the little square-shaped pieces of Chhena (crumbled curd cheese) Gajja that are fried and soaked in sugar syrup for about an hour, for them to absorb the sweetness.","Chhena gajas are prepared by combining chhena, similar to cottage cheese, and sooji (semolina), and kneading the dough thoroughly.  :Water is squeezed out from the mixture, which is then dried briefly until it acquires the right consistency. :It is then molded into palm-sized rectangular shapes (gajas), boiled in thick sugar syrup. :Sometimes, the gajas are then allowed to dry a little more, in which case the sugar may occasionally crystallize on the surface.",https://i.imgur.com/fJswfTX.jpg,https://i.imgur.com/cBX6hTc.jpg https://i.imgur.com/tEYhQE3.jpg https://i.imgur.com/MbilS8X.jpg https://i.imgur.com/dg0Jus0.jpg,https://i.imgur.com/cQhgJiX.jpg,https://www.youtube.com/watch?v=GyBFBbdkqlo
OD_PaluaLadu,PALUA LADU,pɑːzuə lədʊ,Bhadrak,INR 10 -15 per Piece,Sweets,"Morning, Evening","Palua refers to arrowroot. Arrowroot is a plant-based grain-free starch, that helps work for a better texture of various dishes. Palua Ladu is another fascinating sweet item that is relished by the people of Odisha. It originated at a place called Bhadrak district in Odisha. The Palua Ladu recipe has ingredients like wheat/refined flour, semolina (Sooji), Palua (arrowroot powder), sugar, water, oil and baking soda. However, there are various other recipes playing around with slightly different ingredients and methods. This sweet dish is visually appealing and tastes lovely as well.","Wheat flour is taken in a bowl and salt, ghee, sugar are mixed and rubbed properly. :Spices are then added followed by jaggery and dry fruits. The mixture is then kneaded into a smooth soft dough. :Small balls are made with it which is then deep fried in slow flame and cooked until it turns light brown on both sides. :The ladoos are then bought out into a plate to drain the excess ghee. :It is then cooled and dusted with icing sugar.It is preferred to be served cool.",https://i.imgur.com/p6QJbvf.jpg,https://i.imgur.com/TbXlIkX.jpg https://i.imgur.com/SE3ezXn.jpgg https://i.imgur.com/TjKsXMY.jpg https://i.imgur.com/oHk5GoQ.jpg ,https://i.imgur.com/SYdEDwc.jpg,https://www.youtube.com/watch?v=LOG3JEycLmQ